Handle;Command;Title;Body HTML;Woo: Description;Woo: Type;Vendor;Type;Tags;Tag Command;Status;Created At;Updated At;Published;Published At;Published Scope;Row #;Top Row;Variant Command;Option1 Name;Option1 Value;Option2 Name;Option2 Value;Option3 Name;Option3 Value;Variant Position;Variant SKU;Variant Barcode;Variant Image;Variant Weight;Variant Weight Unit;Variant Price;Variant Compare At Price;Variant Taxable;Variant Inventory Tracker;Variant Inventory Policy;Variant Fulfillment Service;Variant Requires Shipping;Variant Inventory Qty;Image Src;Image Command;Image Position;Image Alt Text;Custom Collections;Metafield: woo.id;Variant Metafield: woo.id;ID (Ref);Handle (Ref);Import Result;Import Comment;Variant Metafield: woo.price;Variant Metafield: woo.regular_price;Variant Metafield: woo.sale_price;Variant Metafield: woo.date_on_sale_from_gmt;Variant Metafield: woo.date_on_sale_to_gmt;Variant Metafield: woo.stock_status;Variant Metafield: woo.length;Variant Metafield: woo.width;Variant Metafield: woo.height;Metafield: woo.permalink;Metafield: woo.average_rating;Metafield: woo.rating_count;Metafield: woo.short_description;Metafield: woo.stock_status;Metafield: woo._dh_hide_custom_tab;Metafield: woo._dh_disable_variation_gallery;Metafield: woo.slide_template;Metafield: woo.ect_tran_title_en;Metafield: woo.ect_tran_permalink_en;Metafield: woo.ect_tran_content_en;Metafield: woo.original_post_title_en;Metafield: woo._ajax_nonce-add-product_lookbook_en;Metafield: woo._ajax_nonce-add-product_brand_en;Metafield: woo._ajax_nonce-add-product_cat_en;Metafield: woo.product_image_gallery_en;Metafield: woo.dh_meta_box_nonce_en;Metafield: woo.dh_meta_en;Metafield: woo.product-type_en;Metafield: woo._original_stock_en;Metafield: woo.etm_post_name_en;Metafield: woo.etm_content_excerpts_en;Metafield: woo.fb_visibility;Metafield: woo.fb_product_group_id;Metafield: woo.fb_product_item_id;Metafield: woo._yoast_wpseo_primary_product_cat;Metafield: woo._yoast_wpseo_content_score;Metafield: woo._woosea_exclude_product;Metafield: woo._product_addons_exclude_global;Metafield: woo._woo_ml_product_tracked;Metafield: woo.wbcr_wp_old_slug;Metafield: woo_attribute.Material;Metafield: woo_attribute.Stone;Metafield: woo_attribute.Form;Metafield: woo.short_description_plain;Metafield: woo.length;Metafield: woo.width;Metafield: woo.height;Metafield: woo._visibility_en;Metafield: woo.attribute_names_en;Metafield: woo.attribute_position_en;Metafield: woo.attribute_values_en;Metafield: woo.attribute_visibility_en;Metafield: woo.ect_tran_permalink_bg;Metafield: woo.ect_tran_content_bg;Metafield: woo.original_post_title_bg;Metafield: woo._visibility_bg;Metafield: woo._ajax_nonce-add-product_lookbook_bg;Metafield: woo._ajax_nonce-add-product_brand_bg;Metafield: woo._ajax_nonce-add-product_cat_bg;Metafield: woo.product_image_gallery_bg;Metafield: woo.dh_meta_box_nonce_bg;Metafield: woo.dh_meta_bg;Metafield: woo.product-type_bg;Metafield: woo._original_stock_bg;Metafield: woo.attribute_names_bg;Metafield: woo.attribute_position_bg;Metafield: woo.attribute_values_bg;Metafield: woo.attribute_visibility_bg;Metafield: woo.etm_post_name_bg;Metafield: woo.woodmart_sguide_select;Metafield: woo._sell_as_a_giftcard;Metafield: woo.inline_featured_image;Metafield: woo._woodmart_whb_header;Metafield: woo._woodmart_main_layout;Metafield: woo._woodmart_sidebar_width;Metafield: woo._woodmart_custom_sidebar;Metafield: woo._woodmart_product_design;Metafield: woo._woodmart_single_product_style;Metafield: woo._woodmart_thums_position;Metafield: woo._woodmart_extra_position;Metafield: woo.publish_en;Metafield: woo.etm_content_excerpts_bg;Metafield: woo.upsell_ids_en;Metafield: woo._yoast_wpseo_primary_product_brand;Metafield: woo._wc_facebook_sync_enabled;Metafield: woo._wc_facebook_product_image_source;Metafield: woo._yoast_wpseo_estimated-reading-time-minutes;Metafield: woo.wpfoof-identifier_exists;Metafield: woo._yith_wfbt_data;Metafield: woo.woodmart_wc_video_gallery;Metafield: woo._pys_head_footer;Metafield: woo._woodmart_product_custom_tab_content_type;Metafield: woo.woodmart_product_custom_tab_content_type_id;Metafield: woo.woodmart_product_custom_tab_content_type;Metafield: woo._yoast_wpseo_focuskw;Metafield: woo._yoast_wpseo_linkdex;Metafield: woo_attribute.Ring_size;Metafield: woo_attribute.Type;Metafield: woo_attribute.Fastening;Metafield: woo._wp_old_date;Metafield: woo.woodmart_total_stock_quantity;Metafield: woo._woodmart_product_custom_tab_title;Metafield: woo._woodmart_product_custom_tab_content;Metafield: woo.woobt_disable;Metafield: woo.woobt_checked_all;Metafield: woo.woobt_separately;Metafield: woo.woobt_selection;Metafield: woo.woobt_custom_qty;Metafield: woo.woobt_sync_qty;Metafield: woo.woobt_limit_each_min_default;Metafield: woo.woobt_layout;Metafield: woo.woobt_position;Metafield: woo.woobt_atc_button;Metafield: woo.woobt_show_this_item;Metafield: woo.bgfd_woo_product_engraving_price;Metafield: woo.bgfd_enable_product_engraving;Metafield: woo.crosssell_ids_en;Metafield: woo._vc_post_settings;Metafield: woo.ect_tran_title_bg;Metafield: woo.is_product_page_en;Metafield: woo._monsterinsights_sitenote_active;Metafield: global.Combined handle;Metafield: woo.woobt_ids;Metafield: woo._yoast_wpseo_metadesc;Metafield: woo._yoast_wpseo_focuskw_text_input;Metafield: woo._yoast_wpseo_title;Metafield: woo.yoast_wpseo_primary_product_lookbook_nonce_en;Metafield: woo.yoast_wpseo_primary_product_brand_nonce_en;Metafield: woo.yoast_wpseo_primary_product_cat_nonce_en;Metafield: woo.yoast_wpseo_focuskw_text_input_en;Metafield: woo.yoast_wpseo_focuskw_en;Metafield: woo.yoast_wpseo_title_en;Metafield: woo.yoast_wpseo_metadesc_en;Metafield: woo.yoast_wpseo_linkdex_en;Metafield: woo.yoast_wpseo_content_score_en;Metafield: woo.yoast_wpseo_meta-robots-noindex_en;Metafield: woo.yoast_wpseo_meta-robots-nofollow_en;Metafield: woo.yoast_wpseo_meta-robots-adv_en;Metafield: woo._yoast_wpseo_is_cornerstone;Metafield: woo.yoast_wpseo_primary_product_cat_term_en;Metafield: woo._regular_price_en;Metafield: woo._sku_en;Metafield: woo._manage_stock_en;Metafield: woo._stock_en;Metafield: woo._sold_individually_en;Metafield: woo.yoast_wpseo_primary_product_lookbook_nonce_bg;Metafield: woo.yoast_wpseo_primary_product_brand_nonce_bg;Metafield: woo.yoast_wpseo_primary_product_cat_term_bg;Metafield: woo.yoast_wpseo_primary_product_cat_nonce_bg;Metafield: woo.is_product_page_bg;Metafield: woo.yoast_wpseo_focuskw_text_input_bg;Metafield: woo.yoast_wpseo_focuskw_bg;Metafield: woo.yoast_wpseo_title_bg;Metafield: woo.yoast_wpseo_metadesc_bg;Metafield: woo.yoast_wpseo_linkdex_bg;Metafield: woo.yoast_wpseo_content_score_bg;Metafield: woo.yoast_wpseo_meta-robots-noindex_bg;Metafield: woo.yoast_wpseo_meta-robots-nofollow_bg;Metafield: woo.yoast_wpseo_meta-robots-adv_bg;Metafield: woo._nickx_video_text_url;Metafield: woo._nickx_product_video_type;Metafield: woo_attribute.Length;Variant Metafield: woo.wpfoof-identifier_exists;Variant Metafield: woo.wbcr_wp_old_slug;Metafield: woo.woodmart_product_custom_tab_content_type_id_1;Metafield: woo.woodmart_product_custom_tab_content_type_1;Metafield: woo.woodmart_product_custom_tab_content_type_id_2;Metafield: woo.woodmart_product_custom_tab_content_type_2;Metafield: woo.woodmart_product_custom_tab_content_type_id_3;Metafield: woo.woodmart_product_custom_tab_content_type_3;Metafield: woo_attribute.Collection;Metafield: woo.wpmm_postgrid_views;Metafield: woo.woodmart_product_custom_tab_title_id;Metafield: woo.woodmart_product_custom_tab_title;Metafield: woo.woodmart_product_custom_tab_content_id;Metafield: woo.woodmart_product_custom_tab_content;Metafield: woo._dh_video_embed;Metafield: woo._dh_video_embed_hidden;Metafield: woo_attribute.Knit;Variant Metafield: woo._woosea_exclude_product;Variant Metafield: woo._wc_facebook_sync_enabled;Variant Metafield: woo._wc_facebook_product_image_source;Variant Metafield: woo._vc_post_settings;Variant Metafield: woo.fb_visibility;Metafield: woo._children;Variant Metafield: woo._dh_variation_image_gallery;Metafield: woo._yoast_wpseo_primary_kolekcii;Metafield: woo._xoo_waitlist_disable;Metafield: woo._yoast_wpseo_primary_product_lookbook;Metafield: woo._wapo_disable_global;Metafield: woo._custom_thumbnail;Variant Metafield: woo.fb_product_price;Metafield: woo._aioseo_description;Metafield: woo._aioseo_title;Metafield: woo._aioseo_twitter_title;Metafield: woo.disable_woothumbs;Metafield: woo._iconic_woothumbs;Metafield: woo.woobt_discount;Metafield: woo._yoast_wpseo_opengraph-title;Metafield: woo_attribute_hidden.Колекция;Metafield: woo._dh_custom_tab_content;Metafield: woo_attribute.Зодии;Metafield: woo.wps_wgm_pricing;Metafield: woo.copy_mwb_wgm_pricing;Metafield: woo.wps_wgm_overwrite;Metafield: woo.copy_mwb_wgm_overwrite;Metafield: woo.wps_wgm_email_to_recipient;Metafield: woo.copy_mwb_wgm_email_to_recipient;Metafield: woo.wps_wgm_download;Metafield: woo.copy_mwb_wgm_download;Metafield: woo.wps_wgm_shipping;Metafield: woo.copy_mwb_wgm_shipping;Metafield: woo.wps_wgm_discount;Metafield: woo.copy_mwb_wgm_discount;Metafield: woo._woodmart_product_video;Metafield: woo._woodmart_hide_tabs_titles;Metafield: woo.woodmart_fbt_bundles_id;Metafield: woo_attribute.Бранд;Metafield: woo._product_addons;Metafield: woo_attribute.Размер на детелинката;Metafield: woo_attribute_hidden.Размер на пръстена;Metafield: woo_attribute_hidden.Вид;Metafield: woo_attribute_hidden.Размер на детелинката;Metafield: woo._woo_ml_product_ignored;Metafield: woo.cuw_product_addons_product_ids;Metafield: woo_attribute_hidden.Форма;Metafield: woo_attribute_hidden.Дължина;Metafield: woo_attribute_hidden.Ширина;Metafield: woo_attribute.Ширина;Metafield: woo_attribute_hidden.Материал;Metafield: woo_attribute_hidden.Камък
srebaren-medalon-red-rose;MERGE;Сребърен медальон - Red rose;"<p>Изящен сребърен медальон на италианския луксозен бранд GANEZZI. Бижуто е с позлата, циркони, емайл, черен оникс и розички от пресован корал.</p>
<p><em>Грижи и съхранение:</em> Съхранявайте всяко бижу в отделна торбичка или отделение на бижутерка, за да предпазите от надраскване.</p>
<p>Бижуто се доставя в луксозна кутия с фирмен сертификат за качество и автентичност.</p>
<p>Производител- GANEZZI, Италия<br>
Материал- Сребро 925</p>";"<p>Изящен сребърен медальон на италианския луксозен бранд GANEZZI. Бижуто е с позлата, циркони, емайл, черен оникс и розички от пресован корал.</p>
<p><em>Грижи и съхранение:</em> Съхранявайте всяко бижу в отделна торбичка или отделение на бижутерка, за да предпазите от надраскване.</p>
<p>Бижуто се доставя в луксозна кутия с фирмен сертификат за качество и автентичност.</p>
<p>Производител- GANEZZI, Италия<br />
Материал- Сребро 925</p>
";simple;;Сребърен медальон;;REPLACE;active;2021-02-18 17:19:39 -0500;2025-04-15 08:20:05 -0400;TRUE;2021-02-18 17:19:39 -0500;global;2718;1;MERGE;Title;Default Title;;;;;;95868028;95868028;;;;284;368;1;shopify;deny;manual;1;1;https://selina.bg/wp-content/uploads/2021/02/95868028.jpg;MERGE;1;атрактивен сребърен медальон, жълта позлата, пресован корал, черен оникс, цирконий, ganezzi,;ganezzi, promotions, srebarni-medalyoni;20105;;;;;MERGE;284;368;284;;;;;;;https://selina.bg/product/srebaren-medalon-red-rose/;0;0;;instock;0;no;;;;;;;;;;;;;;;;;;;920;90;no;0;1;%d1%81%d1%80%d0%b5%d0%b1%d1%8a%d1%80%d0%b5%d0%bd-%d0%bc%d0%b5%d0%b4%d0%b0%d0%bb%d1%8c%d0%be%d0%bd-red-rose;Сребро 925 с жълта позлата;корал|кубичен цирконий|оникс;флорална;;;;;;;;;;;;;;;;;;;;;;;;;;;none;no;0;none;default;default;none;inherit;inherit;inherit;after;;;;158;;;;TRUE;"{""default_variation"":"""",""products_type"":""custom"",""products"":[],""visibility_type"":""all"",""num_visible"":2,""show_unchecked"":""no"",""additional_text"":"""",""discount_enabled"":""no"",""discount_type"":""percentage"",""discount_fixed"":""10"",""discount_percentage"":10,""discount_conditions"":""no"",""discount_min_spend"":"""",""discount_min_products"":2}";"{""20106"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""}}";"{""disable_global"":false,""head_any"":"""",""head_desktop"":"""",""head_mobile"":"""",""footer_any"":"""",""footer_desktop"":"""",""footer_mobile"":""""}";text;2;text;сребърен медальон GANEZZI с коралови рози;33;;;;2021-02-09;;Размери;Дължина - 50мм, ширина - 25мм;no;off;off;multiple;off;off;off;unset;unset;unset;unset;0;False;;;;;;srebaren-sindzhir-tondo-yg;"{""lew3"":{""id"":""44678"",""sku"":""18051384"",""price"":""100%"",""qty"":""1""}}";Изящен сребърен медальон на италианския луксозен бранд GANEZZI. Бижуто е с позлата, циркони, емайл, черен оникс и розички от пресован корал.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ganezzi;;;;;;;;;;;;;;;;1272;;;;;;Изящен сребърен медальон на италианския луксозен бранд GANEZZI. Бижуто е с позлата, циркони, емайл, черен оникс и розички от пресован корал.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
srebaren-medalon-angel-song;MERGE;Сребърен медальон - Angel song;"<p>Красиво нежно сребърно ангелче със сърчице. Медальончето е с перфектна полировка и родиево покритие, което предпазва среброто от потъмняване.</p>
<p><em>Грижи и съхранение:</em> За да отстраните отпечатъците от пръсти и да върнете блясъка на камъните, потопете бижуто за около час в течен сапун, разтворен в топла вода. След това изплакнете обилно с хладка вода и подсушете добре. Съхранявайте всяко бижу в отделна торбичка или отделение на бижутерка, за да предпазите от надраскване.</p>
<p>Бижуто се доставя в подаръчна кутия с фирмен сертификат за качество и автентичност.</p>
<p>Производител- Тайланд<br>
Материал- Сребро 925</p>";"<p>Красиво нежно сребърно ангелче със сърчице. Медальончето е с перфектна полировка и родиево покритие, което предпазва среброто от потъмняване.</p>
<p><em>Грижи и съхранение:</em> За да отстраните отпечатъците от пръсти и да върнете блясъка на камъните, потопете бижуто за около час в течен сапун, разтворен в топла вода. След това изплакнете обилно с хладка вода и подсушете добре. Съхранявайте всяко бижу в отделна торбичка или отделение на бижутерка, за да предпазите от надраскване.</p>
<p>Бижуто се доставя в подаръчна кутия с фирмен сертификат за качество и автентичност.</p>
<p>Производител- Тайланд<br />
Материал- Сребро 925</p>
";simple;;Сребърен медальон;;REPLACE;active;2020-09-08 06:50:04 -0400;2025-09-27 14:00:53 -0400;TRUE;2020-09-08 06:50:04 -0400;global;1823;1;MERGE;Title;Default Title;;;;;;Г/65845189/7;Г/65845189/7;;;;33;;1;shopify;deny;manual;1;1;https://selina.bg/wp-content/uploads/2020/08/65845189.jpg;MERGE;1;нежен сребърен медальон, ангел, родиево покритие;bijuta-deca, srebarni-medalyoni;16364;;;;;MERGE;33;33;;;;;;;;https://selina.bg/product/srebaren-medalon-angel-song/;0;0;;instock;0;no;;;;;;;;;;;;;;;;;;;43;90;no;0;1;%d1%81%d1%80%d0%b5%d0%b1%d1%8a%d1%80%d0%b5%d0%bd-%d0%bc%d0%b5%d0%b4%d0%b0%d0%bb%d1%8c%d0%be%d0%bd-angel-song;Сребро 925 с родиево покритие;кубичен цирконий;ангелче;;;;;;;;;;;;;;;;;;;;;;;;;;;none;no;0;none;default;default;none;inherit;inherit;inherit;after;;;;;yes;product;;TRUE;"{""default_variation"":"""",""products_type"":""custom"",""products"":[],""visibility_type"":""all"",""num_visible"":2,""show_unchecked"":""no"",""additional_text"":"""",""discount_enabled"":""no"",""discount_type"":""percentage"",""discount_fixed"":""10"",""discount_percentage"":10,""discount_conditions"":""no"",""discount_min_spend"":"""",""discount_min_products"":2}";"{""16365"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""}}";"{""disable_global"":false,""head_any"":"""",""head_desktop"":"""",""head_mobile"":"""",""footer_any"":"""",""footer_desktop"":"""",""footer_mobile"":""""}";text;2;text;Красиво нежно сребърно ангелче със сърчице;40;;;;2020-08-26;7;Размери;Дължина на медальона - 22мм;no;off;off;multiple;off;off;off;unset;unset;unset;unset;0;False;;;;;;srebaren-sindzhir-39721808;"{""c4ld"":{""id"":""27740"",""sku"":""14814341"",""price"":""100%"",""qty"":""1""}}";Красиво нежно сребърно ангелче със сърчице. Медальончето е с перфектна полировка и родиево покритие, което предпазва среброто от потъмняване.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
srebaren-medalon-ari-heart;MERGE;Сребърен медальон - Ari Heart;"<p>Нежен сребърен медальон сърчице с циркоий Swarovski за приказен блясък. Бижуто е с прецизно родиево покритие, което предпазва среброто от оксидация.</p>
<p>Бижуто се доставя в подаръчна кутия с фирмен сертификат за качество и автентичност.</p>
<p>Производител-  SOKOLOV<br>
Материал- Сребро 925</p>";"<p>Нежен сребърен медальон сърчице с циркоий Swarovski за приказен блясък. Бижуто е с прецизно родиево покритие, което предпазва среброто от оксидация.</p>
<p>Бижуто се доставя в подаръчна кутия с фирмен сертификат за качество и автентичност.</p>
<p>Производител-  SOKOLOV<br />
Материал- Сребро 925</p>
";simple;;Сребърен медальон;;REPLACE;active;2021-12-10 15:26:34 -0500;2025-09-27 14:04:35 -0400;TRUE;2021-12-10 15:26:34 -0500;global;3863;1;MERGE;Title;Default Title;;;;;;S/89030037/18;S/89030037/18;;;;49;;1;shopify;deny;manual;1;7;https://selina.bg/wp-content/uploads/2021/11/7.jpg;MERGE;1;нежен сребърен медальон, сърце, родиево покритие, CZ Swarovski, sokolov,;bijuta-deca, srebarni-medalyoni;23918;;;;;MERGE;49;49;;;;;;;;https://selina.bg/product/srebaren-medalon-ari-heart/;0;0;;instock;0;no;;;;;;;;;;;;;;;;;;;43;90;;0;1;%d1%81%d1%80%d0%b5%d0%b1%d1%8a%d1%80%d0%b5%d0%bd-%d0%bc%d0%b5%d0%b4%d0%b0%d0%bb%d1%8c%d0%be%d0%bd-ari-heart;Сребро 925 с родиево покритие;CZ Swarovski;сърце;;;;;;;;;;;;;;;;;;;;;;;;;;;none;no;0;none;default;default;none;inherit;inherit;inherit;after;;;;1271;;;;TRUE;"{""default_variation"":"""",""products_type"":""custom"",""products"":[],""visibility_type"":""all"",""num_visible"":2,""show_unchecked"":""no"",""additional_text"":"""",""discount_enabled"":""no"",""discount_type"":""percentage"",""discount_fixed"":""10"",""discount_percentage"":10,""discount_conditions"":""no"",""discount_min_spend"":"""",""discount_min_products"":2}";"{""23920"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""23921"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""23919"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""}}";"{""disable_global"":false,""head_any"":"""",""head_desktop"":"""",""head_mobile"":"""",""footer_any"":"""",""footer_desktop"":"""",""footer_mobile"":""""}";text;2;text;сребърен медальон сърчице;44;;;;2021-12-06;18;Размери;;no;off;off;multiple;off;off;off;unset;unset;unset;unset;0;False;;;;;;srebaren-sindzhir-39721808,srebarni-obeci-hearts-cz-swarovski;"{""mnwu"":{""id"":""21475"",""sku"":""S/89020060/5"",""price"":""100%"",""qty"":""1""},""tunf"":{""id"":""27741"",""sku"":""14814341"",""price"":""100%"",""qty"":""1""}}";Нежен сребърен медальон сърчице с циркоий Swarovski за приказен блясък. Бижуто е с прецизно родиево покритие, което предпазва среброто от оксидация.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sokolov;;;;;;;;;;;;;;;;;;;;;;Нежен сребърен медальон сърчице с циркоий Swarovski за приказен блясък. Бижуто е с прецизно родиево покритие, което предпазва среброто от оксидация.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
srebaren-komplekt-brilliant-blue;MERGE;Сребърен комплект - Brilliant blue;"<p>Вечерна класика в брилянтно изпълнение - обеци и медальон от сребро със сапфир корунд в рамка от искрящ кубичен цирконий. Крушовидна шлифовка ни представя камък в целия му блясък. Студеният метал ефективно контрастира с океанските дълбини на корунда.<br>
Обеците са с удобно английско закопчаване.</p>
<p>Бижуто се доставя в подаръчна кутия с фирмен сертификат за качество и автентичност.</p>
<p>Производител- SOKOLOV<br>
Материал- Сребро 925</p>";"<p>Вечерна класика в брилянтно изпълнение - обеци и медальон от сребро със сапфир корунд в рамка от искрящ кубичен цирконий. Крушовидна шлифовка ни представя камък в целия му блясък. Студеният метал ефективно контрастира с океанските дълбини на корунда.<br />
Обеците са с удобно английско закопчаване.</p>
<p>Бижуто се доставя в подаръчна кутия с фирмен сертификат за качество и автентичност.</p>
<p>Производител- SOKOLOV<br />
Материал- Сребро 925</p>
";simple;;Сребърен комплект;;REPLACE;active;2022-05-02 16:28:49 -0400;2025-05-10 14:31:49 -0400;TRUE;2022-05-02 16:28:49 -0400;global;4493;1;MERGE;Title;Default Title;;;;;;S/88030004/3;S/88030004/3;;;;250;;1;shopify;deny;manual;1;0;https://selina.bg/wp-content/uploads/2022/03/88030004set.jpg;MERGE;1;сребърен комплект със сини цирконии;srebarni-komplekti;26690;;;;;MERGE;250;250;;;;;;;;https://selina.bg/product/srebaren-komplekt-brilliant-blue/;0;0;;outofstock;;;;;;;;;;;;;;;;;;;;;38;90;;0;1;%d1%81%d1%80%d0%b5%d0%b1%d1%8a%d1%80%d0%b5%d0%bd-%d0%ba%d0%be%d0%bc%d0%bf%d0%bb%d0%b5%d0%ba%d1%82-brilliant-blue;Сребро 925 с родиево покритие;корунд|кубичен цирконий;капковидна;;;;;;;;;;;;;;;;;;;;;;;;;;;none;no;0;none;default;default;none;inherit;inherit;inherit;after;;;;;;;1;TRUE;"{""default_variation"":"""",""products_type"":""custom"",""products"":[],""visibility_type"":""all"",""num_visible"":2,""show_unchecked"":""no"",""additional_text"":"""",""discount_enabled"":""no"",""discount_type"":""percentage"",""discount_fixed"":""10"",""discount_percentage"":10,""discount_conditions"":""no"",""discount_min_spend"":"""",""discount_min_products"":2}";"{""26692"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""26693"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""26695"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""26696"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""26697"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""26698"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""26699"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""26700"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""26701"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""28038"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""}}";"{""disable_global"":false,""head_any"":"""",""head_desktop"":"""",""head_mobile"":"""",""footer_any"":"""",""footer_desktop"":"""",""footer_mobile"":""""}";text;2;text;сребърен комплект капка син цирконий;36;;;;2022-03-22;3;Размери;"Размер на обеците - 13/17мм
Размер на медальона - 13/23мм";no;off;off;multiple;off;off;off;unset;unset;unset;unset;0;False;;;;;;srebaren-prasten-brilliant-blue,srebaren-sindzhir-39721808;"{""okb3"":{""id"":""26702"",""sku"":""S/88010017/1"",""price"":""100%"",""qty"":""1""},""zexz"":{""id"":""3784"",""sku"":""14814341"",""price"":""100%"",""qty"":""1""}}";Вечерна класика в брилянтно изпълнение - обеци и медальон от сребро със сапфир корунд в рамка от искрящ кубичен цирконий. Крушовидна шлифовка ни представя камък в целия му блясък. Студеният метал ефективно контрастира с океанските дълбини на корунда. Обеците са с удобно английско закопчаване.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sokolov;;;;;;;;;;;;;;;;;;;;;;Вечерна класика в брилянтно изпълнение - обеци и медальон от сребро със сапфир корунд в рамка от искрящ кубичен цирконий. Крушовидна шлифовка ни представя камък в целия му блясък. Студеният метал ефективно контрастира с океанските дълбини на корунда. Обеците са с удобно английско закопчаване.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
